source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2008,455739867.976293
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2007,351458732.442619
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2006,289840300.29228
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2005,167944230.519191
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2004,137583476.929811
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2003,86499780.3681952
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2002,82692671.5664975
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2001,45083429.8139549
World Bank,Senegal,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2000,81643690.1235186
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2025,
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2024,
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2023,
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2022,38.7034371333914
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2021,38.4571318716276
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2020,39.6100564323312
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2019,37.8438782636639
World Bank,Viet Nam,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2018,38.5098248523289
